frame,timestamp_sec,active_car,active_bus,active_motorcycle,active_truck,active_track_ids,cum_unique_car,cum_unique_bus,cum_unique_motorcycle,cum_unique_truck,cum_total_unique
161,12.88,0,0,0,0,,0,0,0,0,0
162,12.96,0,0,0,0,,0,0,0,0,0
163,13.04,0,0,0,0,,0,0,0,0,0
164,13.12,0,0,0,0,,0,0,0,0,0
165,13.2,0,0,0,0,,0,0,0,0,0
166,13.28,0,0,0,0,,0,0,0,0,0
167,13.36,0,0,0,0,,0,0,0,0,0
168,13.44,0,0,0,0,,0,0,0,0,0
169,13.52,0,0,0,0,,0,0,0,0,0
170,13.6,0,0,0,0,,0,0,0,0,0
171,13.68,0,0,0,0,,0,0,0,0,0
172,13.76,0,0,0,0,,0,0,0,0,0
173,13.84,0,0,0,0,,0,0,0,0,0
174,13.92,0,0,0,0,,0,0,0,0,0
175,14.0,0,0,0,0,,0,0,0,0,0
176,14.08,0,0,0,0,,0,0,0,0,0
177,14.16,0,0,0,0,,0,0,0,0,0
178,14.24,0,0,0,0,,0,0,0,0,0
179,14.32,0,0,0,0,,0,0,0,0,0
180,14.4,0,0,0,0,,0,0,0,0,0
181,14.48,0,0,0,0,,0,0,0,0,0
182,14.56,0,0,0,0,,0,0,0,0,0
183,14.64,0,0,0,0,,0,0,0,0,0
184,14.72,0,0,0,0,,0,0,0,0,0
185,14.8,1,0,0,0,,0,0,0,0,0
186,14.88,0,0,0,0,,0,0,0,0,0
187,14.96,0,0,0,0,,0,0,0,0,0
188,15.04,0,0,0,0,,0,0,0,0,0
189,15.12,0,0,0,0,,0,0,0,0,0
190,15.2,0,0,0,0,,0,0,0,0,0
191,15.28,0,0,0,0,,0,0,0,0,0
192,15.36,0,0,0,0,,0,0,0,0,0
193,15.44,0,0,0,0,,0,0,0,0,0
194,15.52,0,0,0,0,,0,0,0,0,0
195,15.6,0,0,0,0,,0,0,0,0,0
196,15.68,0,0,0,0,,0,0,0,0,0
197,15.76,0,0,0,0,,0,0,0,0,0
198,15.84,0,0,0,0,,0,0,0,0,0
199,15.92,0,0,0,0,,0,0,0,0,0
200,16.0,0,0,0,0,,0,0,0,0,0
201,16.08,0,0,0,0,,0,0,0,0,0
202,16.16,0,0,0,0,,0,0,0,0,0
203,16.24,0,0,0,0,,0,0,0,0,0
204,16.32,0,0,0,0,,0,0,0,0,0
205,16.4,0,0,0,0,,0,0,0,0,0
206,16.48,0,0,0,0,,0,0,0,0,0
207,16.56,0,0,0,0,,0,0,0,0,0
208,16.64,0,0,0,0,,0,0,0,0,0
209,16.72,0,0,0,0,,0,0,0,0,0
210,16.8,0,0,0,0,,0,0,0,0,0
211,16.88,0,0,0,0,,0,0,0,0,0
212,16.96,0,0,0,0,,0,0,0,0,0
213,17.04,0,0,0,0,,0,0,0,0,0
214,17.12,0,0,0,0,,0,0,0,0,0
215,17.2,0,0,0,0,,0,0,0,0,0
216,17.28,0,0,0,0,,0,0,0,0,0
217,17.36,0,0,0,0,,0,0,0,0,0
218,17.44,0,0,0,0,,0,0,0,0,0
219,17.52,0,0,0,0,,0,0,0,0,0
220,17.6,0,0,0,0,,0,0,0,0,0
221,17.68,0,0,0,0,,0,0,0,0,0
222,17.76,1,1,0,0,,0,0,0,0,0
223,17.84,1,0,0,0,car#5,1,0,0,0,1
224,17.92,1,0,0,0,car#5,1,0,0,0,1
225,18.0,0,0,0,0,,1,0,0,0,1
226,18.08,0,0,0,0,,1,0,0,0,1
227,18.16,0,0,0,0,,1,0,0,0,1
228,18.24,0,0,0,0,,1,0,0,0,1
229,18.32,0,0,0,0,,1,0,0,0,1
230,18.4,0,0,0,0,,1,0,0,0,1
231,18.48,0,0,0,0,,1,0,0,0,1
232,18.56,1,0,0,0,,1,0,0,0,1
233,18.64,1,0,0,0,car#6,2,0,0,0,2
234,18.72,0,0,0,0,,2,0,0,0,2
235,18.8,0,0,0,0,,2,0,0,0,2
236,18.88,0,0,0,0,,2,0,0,0,2
237,18.96,0,0,0,0,,2,0,0,0,2
238,19.04,0,0,0,0,,2,0,0,0,2
239,19.12,0,0,0,0,,2,0,0,0,2
240,19.2,0,0,0,0,,2,0,0,0,2
241,19.28,0,0,0,0,,2,0,0,0,2
242,19.36,0,0,0,0,,2,0,0,0,2
243,19.44,0,0,0,0,,2,0,0,0,2
244,19.52,0,0,0,0,,2,0,0,0,2
245,19.6,0,0,0,0,,2,0,0,0,2
246,19.68,0,0,0,0,,2,0,0,0,2
247,19.76,0,0,0,0,,2,0,0,0,2
248,19.84,0,0,0,0,,2,0,0,0,2
249,19.92,0,0,0,0,,2,0,0,0,2
250,20.0,0,0,0,0,,2,0,0,0,2
251,20.08,0,0,0,0,,2,0,0,0,2
252,20.16,0,0,0,0,,2,0,0,0,2
253,20.24,0,0,0,0,,2,0,0,0,2
254,20.32,0,0,0,0,,2,0,0,0,2
255,20.4,0,0,0,0,,2,0,0,0,2
256,20.48,0,0,0,0,,2,0,0,0,2
257,20.56,0,0,0,0,,2,0,0,0,2
258,20.64,0,0,0,0,,2,0,0,0,2
259,20.72,0,0,0,0,,2,0,0,0,2
260,20.8,0,0,0,0,,2,0,0,0,2
261,20.88,0,0,0,0,,2,0,0,0,2
262,20.96,0,0,0,0,,2,0,0,0,2
263,21.04,0,0,0,0,,2,0,0,0,2
264,21.12,0,0,0,0,,2,0,0,0,2
265,21.2,0,0,0,0,,2,0,0,0,2
266,21.28,0,0,0,0,,2,0,0,0,2
267,21.36,0,0,0,0,,2,0,0,0,2
268,21.44,0,0,0,0,,2,0,0,0,2
269,21.52,0,0,0,0,,2,0,0,0,2
270,21.6,0,0,0,0,,2,0,0,0,2
271,21.68,0,0,0,0,,2,0,0,0,2
272,21.76,0,0,0,0,,2,0,0,0,2
273,21.84,0,0,0,0,,2,0,0,0,2
274,21.92,0,0,0,0,,2,0,0,0,2
275,22.0,0,0,0,0,,2,0,0,0,2
276,22.08,0,0,0,0,,2,0,0,0,2
277,22.16,0,0,0,0,,2,0,0,0,2
278,22.24,0,0,0,0,,2,0,0,0,2
279,22.32,0,0,0,0,,2,0,0,0,2
280,22.4,0,0,0,0,,2,0,0,0,2
281,22.48,0,0,0,0,,2,0,0,0,2
282,22.56,0,0,0,0,,2,0,0,0,2
283,22.64,0,0,0,0,,2,0,0,0,2
284,22.72,0,0,0,0,,2,0,0,0,2
285,22.8,0,0,0,0,,2,0,0,0,2
286,22.88,0,0,0,0,,2,0,0,0,2
287,22.96,0,0,0,0,,2,0,0,0,2
288,23.04,0,0,0,0,,2,0,0,0,2
289,23.12,0,0,0,0,,2,0,0,0,2
290,23.2,0,0,0,0,,2,0,0,0,2
291,23.28,0,0,0,0,,2,0,0,0,2
292,23.36,0,0,0,0,,2,0,0,0,2
293,23.44,0,0,0,0,,2,0,0,0,2
294,23.52,0,0,0,0,,2,0,0,0,2
295,23.6,0,0,0,0,,2,0,0,0,2
296,23.68,0,0,0,0,,2,0,0,0,2
297,23.76,0,0,0,0,,2,0,0,0,2
298,23.84,0,0,0,0,,2,0,0,0,2
299,23.92,0,0,0,0,,2,0,0,0,2
300,24.0,0,0,0,0,,2,0,0,0,2
301,24.08,0,0,0,0,,2,0,0,0,2
302,24.16,0,0,0,0,,2,0,0,0,2
303,24.24,0,0,0,0,,2,0,0,0,2
304,24.32,0,0,0,0,,2,0,0,0,2
305,24.4,0,0,0,0,,2,0,0,0,2
306,24.48,0,0,0,0,,2,0,0,0,2
307,24.56,0,0,0,0,,2,0,0,0,2
308,24.64,0,0,0,0,,2,0,0,0,2
309,24.72,0,0,0,0,,2,0,0,0,2
310,24.8,0,0,0,0,,2,0,0,0,2
311,24.88,0,0,0,0,,2,0,0,0,2
312,24.96,0,0,0,0,,2,0,0,0,2
313,25.04,0,0,0,0,,2,0,0,0,2
314,25.12,0,0,0,0,,2,0,0,0,2
315,25.2,0,0,0,0,,2,0,0,0,2
316,25.28,0,0,0,0,,2,0,0,0,2
317,25.36,0,0,0,0,,2,0,0,0,2
318,25.44,0,0,0,0,,2,0,0,0,2
319,25.52,0,0,0,0,,2,0,0,0,2
320,25.6,0,0,0,0,,2,0,0,0,2
321,25.68,0,0,0,0,,2,0,0,0,2
322,25.76,0,0,0,0,,2,0,0,0,2
323,25.84,0,0,0,0,,2,0,0,0,2
324,25.92,0,0,0,0,,2,0,0,0,2
325,26.0,0,0,0,0,,2,0,0,0,2
326,26.08,0,0,0,0,,2,0,0,0,2
327,26.16,0,0,0,0,,2,0,0,0,2
328,26.24,0,0,0,0,,2,0,0,0,2
329,26.32,0,0,0,0,,2,0,0,0,2
330,26.4,0,0,0,0,,2,0,0,0,2
331,26.48,0,0,0,0,,2,0,0,0,2
332,26.56,0,0,0,0,,2,0,0,0,2
333,26.64,0,0,0,0,,2,0,0,0,2
334,26.72,0,0,0,0,,2,0,0,0,2
335,26.8,0,0,0,0,,2,0,0,0,2
336,26.88,0,0,0,0,,2,0,0,0,2
337,26.96,0,0,0,0,,2,0,0,0,2
338,27.04,0,0,0,0,,2,0,0,0,2
339,27.12,0,0,0,0,,2,0,0,0,2
340,27.2,0,0,0,0,,2,0,0,0,2
341,27.28,0,0,0,0,,2,0,0,0,2
342,27.36,0,0,0,0,,2,0,0,0,2
343,27.44,0,0,0,0,,2,0,0,0,2
344,27.52,0,0,0,0,,2,0,0,0,2
345,27.6,1,0,0,0,,2,0,0,0,2
346,27.68,1,0,0,0,car#7,3,0,0,0,3
347,27.76,1,0,0,0,car#7,3,0,0,0,3
348,27.84,0,0,0,0,,3,0,0,0,3
349,27.92,0,0,0,0,,3,0,0,0,3
350,28.0,0,0,0,0,,3,0,0,0,3
351,28.08,0,0,0,0,,3,0,0,0,3
352,28.16,0,0,0,0,,3,0,0,0,3
353,28.24,0,0,0,0,,3,0,0,0,3
354,28.32,0,0,0,0,,3,0,0,0,3
355,28.4,0,0,0,0,,3,0,0,0,3
356,28.48,0,0,0,0,,3,0,0,0,3
357,28.56,0,0,0,0,,3,0,0,0,3
358,28.64,0,0,0,0,,3,0,0,0,3
359,28.72,0,0,0,0,,3,0,0,0,3
360,28.8,0,0,0,0,,3,0,0,0,3
361,28.88,0,0,0,0,,3,0,0,0,3
362,28.96,0,0,0,0,,3,0,0,0,3
363,29.04,0,0,0,0,,3,0,0,0,3
364,29.12,0,0,0,0,,3,0,0,0,3
365,29.2,0,0,0,0,,3,0,0,0,3
366,29.28,0,0,0,0,,3,0,0,0,3
367,29.36,0,0,0,0,,3,0,0,0,3
368,29.44,0,0,0,0,,3,0,0,0,3
369,29.52,0,0,0,0,,3,0,0,0,3
370,29.6,0,0,0,0,,3,0,0,0,3
371,29.68,0,0,0,0,,3,0,0,0,3
372,29.76,0,0,0,0,,3,0,0,0,3
373,29.84,0,0,0,0,,3,0,0,0,3
374,29.92,0,0,0,0,,3,0,0,0,3
375,30.0,0,0,0,0,,3,0,0,0,3
376,30.08,0,0,0,0,,3,0,0,0,3
377,30.16,0,0,0,0,,3,0,0,0,3
